date,cumulative_positive_otks_uploaded_ontario,daily_positive_otks_uploaded_ontario
2020-07-30,0,0
2020-07-31,9,9
2020-08-01,16,7
2020-08-02,16,0
2020-08-03,19,3
2020-08-04,22,3
2020-08-05,28,6
2020-08-06,30,2
2020-08-07,35,5
2020-08-08,38,3
2020-08-09,41,3
2020-08-10,42,1
2020-08-11,46,4
2020-08-12,51,5
2020-08-13,56,5
2020-08-14,58,2
2020-08-15,62,4
2020-08-16,64,2
2020-08-17,66,2
2020-08-18,70,4
2020-08-19,73,3
2020-08-20,77,4
2020-08-21,80,3
2020-08-22,82,2
2020-08-23,85,3
2020-08-24,87,2
2020-08-25,92,5
2020-08-26,98,6
2020-08-27,100,2
2020-08-28,103,3
2020-08-29,105,2
2020-08-30,109,4
2020-08-31,110,1
2020-09-01,114,4
2020-09-02,120,6
2020-09-03,127,7
2020-09-04,135,8
2020-09-05,141,6
2020-09-06,145,4
2020-09-07,151,6
2020-09-08,158,7
2020-09-09,168,10
2020-09-10,178,10
2020-09-11,191,13
2020-09-12,199,8
2020-09-13,202,3
2020-09-14,213,11
2020-09-15,224,11
2020-09-16,252,28
2020-09-17,273,21
2020-09-18,287,14
2020-09-19,306,19
2020-09-20,325,19
2020-09-21,347,22
2020-09-22,365,18
2020-09-23,394,29
2020-09-24,424,30
2020-09-25,456,32
2020-09-26,489,33
2020-09-27,521,32
2020-09-28,558,37
2020-09-29,600,42
2020-09-30,634,34
2020-10-01,666,32
2020-10-02,699,33
2020-10-03,742,43
2020-10-04,783,41
2020-10-05,815,32
2020-10-06,850,35
2020-10-07,894,44
2020-10-08,941,47
2020-10-09,983,42
2020-10-10,1023,40
2020-10-11,1059,36
2020-10-12,1092,33
2020-10-13,1134,42
2020-10-14,1172,38
2020-10-15,1236,64
2020-10-16,1287,51
2020-10-17,1316,29
2020-10-18,1354,38
2020-10-19,1409,55
2020-10-20,1469,60
2020-10-21,1519,50
2020-10-22,1564,45
2020-10-23,1600,36
2020-10-24,1653,53
2020-10-25,1698,45
2020-10-26,1735,37
2020-10-27,1764,29
2020-10-28,1813,49
2020-10-29,1853,40
2020-10-30,1893,40
2020-10-31,1933,40
2020-11-01,1976,43
2020-11-02,2016,40
2020-11-03,2067,51
2020-11-04,2102,35
2020-11-05,2151,49
2020-11-06,2200,49
2020-11-07,2254,54
2020-11-08,2302,48
2020-11-09,2365,63
2020-11-10,2446,81
2020-11-11,2530,84
2020-11-12,2612,82
2020-11-13,2697,85
2020-11-14,2762,65
2020-11-15,2833,71
2020-11-16,2913,80
2020-11-17,2986,73
2020-11-18,3081,95
2020-11-19,3152,71
2020-11-20,3242,90
2020-11-21,3323,81
2020-11-22,3406,83
2020-11-23,3484,78
2020-11-24,3550,66
2020-11-25,3636,86
2020-11-26,3739,103
2020-11-27,3831,92
2020-11-28,3918,87
2020-11-29,3993,75
2020-11-30,4092,99
2020-12-01,4183,91
2020-12-02,4270,87
2020-12-03,4349,79
2020-12-04,4460,111
2020-12-05,4535,75
2020-12-06,4624,89
2020-12-07,4712,88
2020-12-08,4781,69
2020-12-09,4888,107
2020-12-10,4998,110
2020-12-11,5087,89
2020-12-12,5174,87
2020-12-13,5274,100
2020-12-14,5373,99
2020-12-15,5479,106
2020-12-16,5603,124
2020-12-17,5721,118
2020-12-18,5859,138
2020-12-19,5990,131
2020-12-20,6111,121
2020-12-21,6226,115
2020-12-22,6364,138
2020-12-23,6498,134
2020-12-24,6611,113
2020-12-25,6742,131
2020-12-26,6885,143
2020-12-27,7032,147
2020-12-28,7171,139
2020-12-29,7369,198
2020-12-30,7595,226
2020-12-31,7774,179
2021-01-01,7975,201
2021-01-02,8155,180
2021-01-03,8362,207
2021-01-04,8547,185
2021-01-05,8743,196
2021-01-06,8936,193
2021-01-07,9122,186
2021-01-08,9295,173
2021-01-09,9464,169
2021-01-10,9598,134
2021-01-11,9745,147
2021-01-12,9888,143
2021-01-13,10027,139
2021-01-14,10178,151
2021-01-15,10306,128
2021-01-16,10470,164
2021-01-17,10608,138
2021-01-18,10725,117
2021-01-19,10842,117
2021-01-20,10960,118
2021-01-21,11068,108
2021-01-22,11186,118
2021-01-23,11282,96
