date,cumulative_ios_downloads_canada,cumulative_android_downloads_canada,cumulative_total_downloads_canada,daily_ios_downloads_canada,daily_android_downloads_canada,daily_total_downloads_canada
2022-02-13,3948294,2954327,6902621,210,360,570
2022-02-14,3948536,2954671,6903207,242,344,586
2022-02-15,3948745,2955029,6903774,209,358,567
2022-02-16,3948973,2955364,6904337,228,335,563
2022-02-17,3949208,2955662,6904870,235,298,533
2022-02-18,3949411,2955988,6905399,203,326,529
2022-02-19,3949566,2956310,6905876,155,322,477
2022-02-20,3949728,2956589,6906317,162,279,441
2022-02-21,3949907,2956891,6906798,179,302,481
2022-02-22,3950118,2957249,6907367,211,358,569
2022-02-23,3950309,2957620,6907929,191,371,562
2022-02-24,3950703,2957954,6908657,394,334,728
2022-02-25,3951323,2958308,6909631,620,354,974
2022-02-26,3951482,2958639,6910121,159,331,490
2022-02-27,3951663,2958919,6910582,181,280,461
2022-02-28,3951871,2959232,6911103,208,313,521
2022-03-01,3952055,2959568,6911623,184,336,520
2022-03-02,3952207,2959879,6912086,152,311,463
2022-03-03,3952368,2960181,6912549,161,302,463
2022-03-04,3952560,2960459,6913019,192,278,470
2022-03-05,3952694,2960725,6913419,134,266,400
2022-03-06,3952837,2961004,6913841,143,279,422
2022-03-07,3953008,2961270,6914278,171,266,437
2022-03-08,3953180,2961577,6914757,172,307,479
2022-03-09,3953377,2961878,6915255,197,301,498
2022-03-10,3953534,2962193,6915727,157,315,472
2022-03-11,3953667,2962494,6916161,133,301,434
2022-03-12,3953814,2962796,6916610,147,302,449
2022-03-13,3953961,2963058,6917019,147,262,409
2022-03-14,3954105,2963343,6917448,144,285,429
2022-03-15,3954274,2963598,6917872,169,255,424
2022-03-16,3954425,2963857,6918282,151,259,410
2022-03-17,3954587,2964118,6918705,162,261,423
2022-03-18,3954732,2964392,6919124,145,274,419
2022-03-19,3954862,2964673,6919535,130,281,411
2022-03-20,3954996,2964929,6919925,134,256,390
2022-03-21,3955126,2965203,6920329,130,274,404
2022-03-22,3955268,2965512,6920780,142,309,451
2022-03-23,3955442,2965809,6921251,174,297,471
2022-03-24,3955590,2966109,6921699,148,300,448
2022-03-25,3955720,2966422,6922142,130,313,443
2022-03-26,3955862,2966726,6922588,142,304,446
2022-03-27,3956002,2967020,6923022,140,294,434
2022-03-28,3956145,2967330,6923475,143,310,453
2022-03-29,3956296,2967629,6923925,151,299,450
2022-03-30,3956454,2967962,6924416,158,333,491
2022-03-31,3956605,2968319,6924924,151,357,508
2022-04-01,3956988,2968652,6925640,383,333,716
2022-04-02,3957155,2968951,6926106,167,299,466
2022-04-03,3957301,2969240,6926541,146,289,435
2022-04-04,3957490,2969576,6927066,189,336,525
2022-04-05,3957668,2969928,6927596,178,352,530
2022-04-06,3957842,2970276,6928118,174,348,522
2022-04-07,3958017,2970566,6928583,175,290,465
2022-04-08,3958169,2970896,6929065,152,330,482
2022-04-09,3958305,2971215,6929520,136,319,455
2022-04-10,3958458,2971482,6929940,153,267,420
2022-04-11,3958628,2971771,6930399,170,289,459
2022-04-12,3958796,2972102,6930898,168,331,499
2022-04-13,3958971,2972439,6931410,175,337,512
2022-04-14,3959136,2972771,6931907,165,332,497
2022-04-15,3959284,2973049,6932333,148,278,426
2022-04-16,3959421,2973331,6932752,137,282,419
2022-04-17,3959568,2973561,6933129,147,230,377
2022-04-18,3959738,2973860,6933598,170,299,469
2022-04-19,3959944,2974151,6934095,206,291,497
2022-04-20,3960133,2974426,6934559,189,275,464
2022-04-21,3960313,2974688,6935001,180,262,442
2022-04-22,3960477,2974976,6935453,164,288,452
2022-04-23,3960644,2975240,6935884,167,264,431
2022-04-24,3960794,2975493,6936287,150,253,403
2022-04-25,3960973,2975776,6936749,179,283,462
2022-04-26,3961122,2976051,6937173,149,275,424
2022-04-27,3961298,2976338,6937636,176,287,463
2022-04-28,3961482,2976627,6938109,184,289,473
2022-04-29,3961629,2976879,6938508,147,252,399
2022-04-30,3961759,2977147,6938906,130,268,398
2022-05-01,3961906,2977381,6939287,147,234,381
2022-05-02,3962059,2977641,6939700,153,260,413
2022-05-03,3962244,2977880,6940124,185,239,424
2022-05-04,3962414,2978160,6940574,170,280,450
2022-05-05,3962582,2978447,6941029,168,287,455
2022-05-06,3962742,2978790,6941532,160,343,503
2022-05-07,3962886,2979048,6941934,144,258,402
2022-05-08,3963032,2979281,6942313,146,233,379
2022-05-09,3963170,2979544,6942714,138,263,401
2022-05-10,3963340,2979798,6943138,170,254,424
2022-05-11,3963483,2980069,6943552,143,271,414
2022-05-12,3963631,2980307,6943938,148,238,386
2022-05-13,3963785,2980557,6944342,154,250,404
2022-05-14,3963910,2980837,6944747,125,280,405
2022-05-15,3964046,2981058,6945104,136,221,357
2022-05-16,3964214,2981320,6945534,168,262,430
2022-05-17,3964384,2981589,6945973,170,269,439
2022-05-18,3964542,2981850,6946392,158,261,419
2022-05-19,3964685,2982118,6946803,143,268,411
2022-05-20,3964838,2982393,6947231,153,275,428
2022-05-21,3964970,2982606,6947576,132,213,345
2022-05-22,3965136,2982854,6947990,166,248,414
2022-05-23,3965261,2983049,6948310,125,195,320
2022-05-24,3965417,2983281,6948698,156,232,388
2022-05-25,3965579,2983522,6949101,162,241,403
2022-05-26,3965732,2983778,6949510,153,256,409
2022-05-27,3965886,2984027,6949913,154,249,403
2022-05-28,3966022,2984242,6950264,136,215,351
2022-05-29,3966164,2984473,6950637,142,231,373
2022-05-30,3966294,2984746,6951040,130,273,403
2022-05-31,3966550,2985011,6951561,256,265,521
2022-06-01,3966719,2985296,6952015,169,285,454
2022-06-02,3966864,2985552,6952416,145,256,401
2022-06-03,3966992,2985799,6952791,128,247,375
2022-06-04,3967138,2986026,6953164,146,227,373
2022-06-05,3967277,2986244,6953521,139,218,357
2022-06-06,3967455,2986504,6953959,178,260,438
2022-06-07,3967607,2986765,6954372,152,261,413
2022-06-08,3967795,2987047,6954842,188,282,470
2022-06-09,3968757,2987312,6956069,962,265,1227
2022-06-10,3968917,2987589,6956506,160,277,437
2022-06-11,3969054,2987834,6956888,137,245,382
2022-06-12,3969160,2988092,6957252,106,258,364
